date,filename,full_file_path,ticker,price_target,eps_target
2023-07-01,2Q23 First Look Fees and LLP Drive Miss Outlook Net Negative.txt,/data/pdf_texts/23.7/2Q23 First Look Fees and LLP Drive Miss Outlook Net Negative.txt,KEY,11.00,0.29
2023-07-01,Chevron Corp 2Q23 Earnings Preview.txt,/data/pdf_texts/23.7/Chevron Corp 2Q23 Earnings Preview.txt,CVX,170.00,2.90
2023-07-01,Channel Checks 19-Jul-23 Inventories Climbing From Already High Levels.txt,/data/pdf_texts/23.7/Channel Checks 19-Jul-23 Inventories Climbing From Already High Levels.txt,TXN,N/A,N/A
2023-07-01,Channel Checks 19-Jul-23 Inventories Climbing From Already High Levels.txt,/data/pdf_texts/23.7/Channel Checks 19-Jul-23 Inventories Climbing From Already High Levels.txt,NVDA,N/A,N/A
2023-07-01,Blackstone Inc Mixed 2Q But Earnings Call Provides Positive Drivers - Maintain Buy.txt,/data/pdf_texts/23.7/Blackstone Inc Mixed 2Q But Earnings Call Provides Positive Drivers - Maintain Buy.txt,BX,111.00,4.19
2023-07-01,Machinery Sector New risk of additional losses from aircraft engine businesses at heavy industry companies.txt,/data/pdf_texts/23.7/Machinery Sector New risk of additional losses from aircraft engine businesses at heavy industry companies.txt,RTX,N/A,N/A
2023-07-01,VMW Deal Clears Key Hurdle With Provisional CMA Approval.txt,/data/pdf_texts/23.7/VMW Deal Clears Key Hurdle With Provisional CMA Approval.txt,AVGO,1000.00,N/A
2023-07-01,VMW Deal Clears Key Hurdle With Provisional CMA Approval.txt,/data/pdf_texts/23.7/VMW Deal Clears Key Hurdle With Provisional CMA Approval.txt,VMW,N/A,N/A
2023-07-01,Investment Companies Daily SPOT subscribers INPP update SHRSASCI merger PCTNGRPOCI NAV HDIV results.txt,/data/pdf_texts/23.7/Investment Companies Daily SPOT subscribers INPP update SHRSASCI merger PCTNGRPOCI NAV HDIV results.txt,SPOT,N/A,N/A
2023-07-01,Investment Companies Daily SPOT subscribers INPP update SHRSASCI merger PCTNGRPOCI NAV HDIV results.txt,/data/pdf_texts/23.7/Investment Companies Daily SPOT subscribers INPP update SHRSASCI merger PCTNGRPOCI NAV HDIV results.txt,SONG,N/A,N/A
2023-07-01,Investment Companies Daily SPOT subscribers INPP update SHRSASCI merger PCTNGRPOCI NAV HDIV results.txt,/data/pdf_texts/23.7/Investment Companies Daily SPOT subscribers INPP update SHRSASCI merger PCTNGRPOCI NAV HDIV results.txt,RHM,N/A,N/A
2023-07-01,First Read Blackstone Group L.P Mixed results on base fees ....txt,/data/pdf_texts/23.7/First Read Blackstone Group L.P Mixed results on base fees ....txt,BX,120.00,4.65
2023-07-01,Adding to the Already-Active Debate.txt,/data/pdf_texts/23.7/Adding to the Already-Active Debate.txt,LNW,84.00,N/A
2023-07-01,Bread Financial Holdings Inc 2Q23 Recap EPS Beat on Expense Discipline Outlook Murky.txt,/data/pdf_texts/23.7/Bread Financial Holdings Inc 2Q23 Recap EPS Beat on Expense Discipline Outlook Murky.txt,BFH,41.00,11.93
2023-07-01,June Monthly Slightly Weaker but Growth Story Unchanged.txt,/data/pdf_texts/23.7/June Monthly Slightly Weaker but Growth Story Unchanged.txt,ACN,310.00,N/A
2023-07-01,June Monthly Slightly Weaker but Growth Story Unchanged.txt,/data/pdf_texts/23.7/June Monthly Slightly Weaker but Growth Story Unchanged.txt,EPAM,232.00,N/A
2023-07-01,Quest Diagnostics 2Q review Strong core but softer margins MA focus on traditional deals.txt,/data/pdf_texts/23.7/Quest Diagnostics 2Q review Strong core but softer margins MA focus on traditional deals.txt,DGX,150.00,N/A
2023-07-01,US Daily Brief Todays Research July 20 2023 Parkhill.txt,/data/pdf_texts/23.7/US Daily Brief Todays Research July 20 2023 Parkhill.txt,APD,355,N/A
2023-07-01,US Daily Brief Todays Research July 20 2023 Parkhill.txt,/data/pdf_texts/23.7/US Daily Brief Todays Research July 20 2023 Parkhill.txt,NFLX,525,N/A
2023-07-01,US Daily Brief Todays Research July 20 2023 Parkhill.txt,/data/pdf_texts/23.7/US Daily Brief Todays Research July 20 2023 Parkhill.txt,FRSH,21,N/A
2023-07-01,US Daily Brief Todays Research July 20 2023 Parkhill.txt,/data/pdf_texts/23.7/US Daily Brief Todays Research July 20 2023 Parkhill.txt,ATVI,96,N/A
2023-07-01,PROG Holdings Inc 2Q Recap GMV accelerates as higher tier lenders begin tightening credit.txt,/data/pdf_texts/23.7/PROG Holdings Inc 2Q Recap GMV accelerates as higher tier lenders begin tightening credit.txt,PRG,48.00,3.21
2023-07-01,Cincinnati Financial Corporation 2Q23 beat on cats and reserve releases.txt,/data/pdf_texts/23.7/Cincinnati Financial Corporation 2Q23 beat on cats and reserve releases.txt,CINF,127.00,4.85
2023-07-01,2Q23 Quick Take - FFOsh Beats Guidance Raised Beats.txt,/data/pdf_texts/23.7/2Q23 Quick Take - FFOsh Beats Guidance Raised Beats.txt,WELL,78.00,N/A
2023-07-01,2Q23 Quick Take - FFOsh Beats Guidance Raised Beats.txt,/data/pdf_texts/23.7/2Q23 Quick Take - FFOsh Beats Guidance Raised Beats.txt,VTR,N/A,N/A
