date,filename,full_file_path,ticker,price_target,eps_target
2023-07-01,Old National Bancorp NII Guide Still Conservative Remain Buy-rated Buy.txt,/data/pdf_texts/23.7/Old National Bancorp NII Guide Still Conservative Remain Buy-rated Buy.txt,ONB,19.50,2.06
2023-07-01,Coca-Cola Europacific Partners Expect at least one more upgrade to its....txt,/data/pdf_texts/23.7/Coca-Cola Europacific Partners Expect at least one more upgrade to its....txt,CCEP,71.00,3.69
2023-07-01,AGCO Corp. 2Q23 Review Cycle Concerns Drove Stock Pullback Despite Strong Beat Raising Estimates.txt,/data/pdf_texts/23.7/AGCO Corp. 2Q23 Review Cycle Concerns Drove Stock Pullback Despite Strong Beat Raising Estimates.txt,AGCO,155.00,15.41
2023-07-01,Allison Transmission Holdings 2Q23 Review Beat A Conservative Raise Adjusting Estimates.txt,/data/pdf_texts/23.7/Allison Transmission Holdings 2Q23 Review Beat A Conservative Raise Adjusting Estimates.txt,ALSN,63.00,8.35
2023-07-01,Memory Semis Monthly July 23 Edition Memory pricing uplift starting to....txt,/data/pdf_texts/23.7/Memory Semis Monthly July 23 Edition Memory pricing uplift starting to....txt,MU,N/A,N/A
2023-07-01,Memory Semis Monthly July 23 Edition Memory pricing uplift starting to....txt,/data/pdf_texts/23.7/Memory Semis Monthly July 23 Edition Memory pricing uplift starting to....txt,WDC,N/A,N/A
2023-07-01,Memory Semis Monthly July 23 Edition Memory pricing uplift starting to....txt,/data/pdf_texts/23.7/Memory Semis Monthly July 23 Edition Memory pricing uplift starting to....txt,SK Hynix,N/A,N/A
2023-07-01,Memory Semis Monthly July 23 Edition Memory pricing uplift starting to....txt,/data/pdf_texts/23.7/Memory Semis Monthly July 23 Edition Memory pricing uplift starting to....txt,Samsung,N/A,N/A
2023-07-01,Comcast Corp Strong across the board.txt,/data/pdf_texts/23.7/Comcast Corp Strong across the board.txt,CMCSA,55.00,3.79
2023-07-01,Cadence Design Systems Raises CY23 Outlook on Strong Chip Design Activity Expect CY23 Backlog Growth On 2H Bookings Stre.txt,/data/pdf_texts/23.7/Cadence Design Systems Raises CY23 Outlook on Strong Chip Design Activity Expect CY23 Backlog Growth On 2H Bookings Stre.txt,CDNS,240.00,5.08
2023-07-01,Cadence Design Systems Raises CY23 Outlook on Strong Chip Design Activity Expect CY23 Backlog Growth On 2H Bookings Stre.txt,/data/pdf_texts/23.7/Cadence Design Systems Raises CY23 Outlook on Strong Chip Design Activity Expect CY23 Backlog Growth On 2H Bookings Stre.txt,SNPS,N/A,N/A
2023-07-01,1H23 Results due on Thursday 27 July.txt,/data/pdf_texts/23.7/1H23 Results due on Thursday 27 July.txt,ADP,155.00,N/A
2023-07-01,Confluent Industry Bytes Standardizing on Confluent as the Central Nervous System.txt,/data/pdf_texts/23.7/Confluent Industry Bytes Standardizing on Confluent as the Central Nervous System.txt,CFLT,36.05,N/A
2023-07-01,Grupo Aeroportuario del Sureste SAB de CV Temporary headwinds weakened 2Q23.txt,/data/pdf_texts/23.7/Grupo Aeroportuario del Sureste SAB de CV Temporary headwinds weakened 2Q23.txt,ASUR,N/A,N/A
2023-07-01,Grupo Aeroportuario del Sureste SAB de CV Temporary headwinds weakened 2Q23.txt,/data/pdf_texts/23.7/Grupo Aeroportuario del Sureste SAB de CV Temporary headwinds weakened 2Q23.txt,MXN,605.00,N/A
2023-07-01,First Read China Paint Sector Gloomy H223 outlook on destocking risks Li.txt,/data/pdf_texts/23.7/First Read China Paint Sector Gloomy H223 outlook on destocking risks Li.txt,SHW,275.00,N/A
2023-07-01,First Read China Paint Sector Gloomy H223 outlook on destocking risks Li.txt,/data/pdf_texts/23.7/First Read China Paint Sector Gloomy H223 outlook on destocking risks Li.txt,PPG,179.00,N/A
2023-07-01,First Read China Paint Sector Gloomy H223 outlook on destocking risks Li.txt,/data/pdf_texts/23.7/First Read China Paint Sector Gloomy H223 outlook on destocking risks Li.txt,AXTA,39.00,N/A
2023-07-01,Boyd Gaming In Line with Muted Expectations.txt,/data/pdf_texts/23.7/Boyd Gaming In Line with Muted Expectations.txt,BYD,77.00,N/A
2023-07-01,Q2 Preview Delivering on Profitability Ramp Remains Key.txt,/data/pdf_texts/23.7/Q2 Preview Delivering on Profitability Ramp Remains Key.txt,DASH,92.00,N/A
2023-07-01,2Q23 Preview See Upside in the Cards.txt,/data/pdf_texts/23.7/2Q23 Preview See Upside in the Cards.txt,HUBS,570.00,0.99
2023-07-01,Fidelity National Information Services Any Potential Deal Complicated by the Investment Needs.txt,/data/pdf_texts/23.7/Fidelity National Information Services Any Potential Deal Complicated by the Investment Needs.txt,FIS,79.00,6.65
2023-07-01,US Oil and Gas 2Q23 so far gas outperforms oil refining tailwinds XOM vs CVX visibility challenge.txt,/data/pdf_texts/23.7/US Oil and Gas 2Q23 so far gas outperforms oil refining tailwinds XOM vs CVX visibility challenge.txt,APA,N/A,N/A
2023-07-01,US Oil and Gas 2Q23 so far gas outperforms oil refining tailwinds XOM vs CVX visibility challenge.txt,/data/pdf_texts/23.7/US Oil and Gas 2Q23 so far gas outperforms oil refining tailwinds XOM vs CVX visibility challenge.txt,CHK,N/A,N/A
2023-07-01,US Oil and Gas 2Q23 so far gas outperforms oil refining tailwinds XOM vs CVX visibility challenge.txt,/data/pdf_texts/23.7/US Oil and Gas 2Q23 so far gas outperforms oil refining tailwinds XOM vs CVX visibility challenge.txt,CNX,N/A,N/A
2023-07-01,US Oil and Gas 2Q23 so far gas outperforms oil refining tailwinds XOM vs CVX visibility challenge.txt,/data/pdf_texts/23.7/US Oil and Gas 2Q23 so far gas outperforms oil refining tailwinds XOM vs CVX visibility challenge.txt,CVX,N/A,N/A
2023-07-01,US Oil and Gas 2Q23 so far gas outperforms oil refining tailwinds XOM vs CVX visibility challenge.txt,/data/pdf_texts/23.7/US Oil and Gas 2Q23 so far gas outperforms oil refining tailwinds XOM vs CVX visibility challenge.txt,IMO,N/A,N/A
2023-07-01,US Oil and Gas 2Q23 so far gas outperforms oil refining tailwinds XOM vs CVX visibility challenge.txt,/data/pdf_texts/23.7/US Oil and Gas 2Q23 so far gas outperforms oil refining tailwinds XOM vs CVX visibility challenge.txt,OXY,N/A,N/A
2023-07-01,US Oil and Gas 2Q23 so far gas outperforms oil refining tailwinds XOM vs CVX visibility challenge.txt,/data/pdf_texts/23.7/US Oil and Gas 2Q23 so far gas outperforms oil refining tailwinds XOM vs CVX visibility challenge.txt,SWN,N/A,N/A
2023-07-01,US Oil and Gas 2Q23 so far gas outperforms oil refining tailwinds XOM vs CVX visibility challenge.txt,/data/pdf_texts/23.7/US Oil and Gas 2Q23 so far gas outperforms oil refining tailwinds XOM vs CVX visibility challenge.txt,XOM,N/A,N/A
2023-07-01,US Oil and Gas 2Q23 so far gas outperforms oil refining tailwinds XOM vs CVX visibility challenge.txt,/data/pdf_texts/23.7/US Oil and Gas 2Q23 so far gas outperforms oil refining tailwinds XOM vs CVX visibility challenge.txt,HES,N/A,N/A
2023-07-01,US Oil and Gas 2Q23 so far gas outperforms oil refining tailwinds XOM vs CVX visibility challenge.txt,/data/pdf_texts/23.7/US Oil and Gas 2Q23 so far gas outperforms oil refining tailwinds XOM vs CVX visibility challenge.txt,OVV,N/A,N/A
2023-07-01,US Oil and Gas 2Q23 so far gas outperforms oil refining tailwinds XOM vs CVX visibility challenge.txt,/data/pdf_texts/23.7/US Oil and Gas 2Q23 so far gas outperforms oil refining tailwinds XOM vs CVX visibility challenge.txt,RRC,N/A,N/A
2023-07-01,US Oil and Gas 2Q23 so far gas outperforms oil refining tailwinds XOM vs CVX visibility challenge.txt,/data/pdf_texts/23.7/US Oil and Gas 2Q23 so far gas outperforms oil refining tailwinds XOM vs CVX visibility challenge.txt,EQT,N/A,N/A
2023-07-01,US Oil and Gas 2Q23 so far gas outperforms oil refining tailwinds XOM vs CVX visibility challenge.txt,/data/pdf_texts/23.7/US Oil and Gas 2Q23 so far gas outperforms oil refining tailwinds XOM vs CVX visibility challenge.txt,VLO,N/A,N/A
2023-07-01,Equity Lifestyle Properties 2Q23 Quick Look.txt,/data/pdf_texts/23.7/Equity Lifestyle Properties 2Q23 Quick Look.txt,ELS,78.00,0.68
2023-07-01,Solid Q2 Deliveries still below production.txt,/data/pdf_texts/23.7/Solid Q2 Deliveries still below production.txt,TSLA,185.00,N/A
2023-07-01,First Horizon Corp 2Q23 Deposit Promos Expected to Persist Coupled with Expense Pressure EPS Growth Limited Neutral.txt,/data/pdf_texts/23.7/First Horizon Corp 2Q23 Deposit Promos Expected to Persist Coupled with Expense Pressure EPS Growth Limited Neutral.txt,FHN,14.00,1.51
2023-07-01,TER 2Q23 Beat3Q23 In-line. Expect V Recovery in 1H24.txt,/data/pdf_texts/23.7/TER 2Q23 Beat3Q23 In-line. Expect V Recovery in 1H24.txt,TER,135.00,4.57
2023-07-01,Q2 DTC Ad Channel Check w Rockerboxs Ron Jacobson.txt,/data/pdf_texts/23.7/Q2 DTC Ad Channel Check w Rockerboxs Ron Jacobson.txt,META,N/A,N/A
2023-07-01,Q2 DTC Ad Channel Check w Rockerboxs Ron Jacobson.txt,/data/pdf_texts/23.7/Q2 DTC Ad Channel Check w Rockerboxs Ron Jacobson.txt,GOOG,N/A,N/A
2023-07-01,Q2 DTC Ad Channel Check w Rockerboxs Ron Jacobson.txt,/data/pdf_texts/23.7/Q2 DTC Ad Channel Check w Rockerboxs Ron Jacobson.txt,TTD,N/A,N/A
2023-07-01,Q2 DTC Ad Channel Check w Rockerboxs Ron Jacobson.txt,/data/pdf_texts/23.7/Q2 DTC Ad Channel Check w Rockerboxs Ron Jacobson.txt,PINS,N/A,N/A
2023-07-01,Q2 DTC Ad Channel Check w Rockerboxs Ron Jacobson.txt,/data/pdf_texts/23.7/Q2 DTC Ad Channel Check w Rockerboxs Ron Jacobson.txt,SNAP,N/A,N/A
2023-07-01,Kaiser Aluminum 2Q Review Earnings Beat on Strong Aerospace Demand While PackagingGE Clouds 2H23 Outlook.txt,/data/pdf_texts/23.7/Kaiser Aluminum 2Q Review Earnings Beat on Strong Aerospace Demand While PackagingGE Clouds 2H23 Outlook.txt,KALU,70.00,5.53
2023-07-01,LTC Properties Inc. Post Call FFO Expected To Tick Down Sequentially in 3Q SNF Headwinds Remain.txt,/data/pdf_texts/23.7/LTC Properties Inc. Post Call FFO Expected To Tick Down Sequentially in 3Q SNF Headwinds Remain.txt,LTC,34.00,0.63-0.64
2023-07-01,Power Integrations 2Q23 Preview The road to recovery.txt,/data/pdf_texts/23.7/Power Integrations 2Q23 Preview The road to recovery.txt,POWI,86.00,0.33
2023-07-01,Two Harbors JPM 2Q23 Earnings Scorecard - Preview.txt,/data/pdf_texts/23.7/Two Harbors JPM 2Q23 Earnings Scorecard - Preview.txt,TWO,N/A,0.77
2023-07-01,US Research Published Week ending on July 7 2023.txt,/data/pdf_texts/23.7/US Research Published Week ending on July 7 2023.txt,RNG,N/A,N/A
2023-07-01,US Research Published Week ending on July 7 2023.txt,/data/pdf_texts/23.7/US Research Published Week ending on July 7 2023.txt,UPS,N/A,N/A
2023-07-01,US Research Published Week ending on July 7 2023.txt,/data/pdf_texts/23.7/US Research Published Week ending on July 7 2023.txt,AEP,N/A,N/A
2023-07-01,US Research Published Week ending on July 7 2023.txt,/data/pdf_texts/23.7/US Research Published Week ending on July 7 2023.txt,FIS,N/A,N/A
2023-07-01,US Research Published Week ending on July 7 2023.txt,/data/pdf_texts/23.7/US Research Published Week ending on July 7 2023.txt,SPWR,N/A,N/A
2023-07-01,US Research Published Week ending on July 7 2023.txt,/data/pdf_texts/23.7/US Research Published Week ending on July 7 2023.txt,RXO,25.00,N/A
2023-07-01,US Research Published Week ending on July 7 2023.txt,/data/pdf_texts/23.7/US Research Published Week ending on July 7 2023.txt,COTY,14.00,N/A
2023-07-01,US Research Published Week ending on July 7 2023.txt,/data/pdf_texts/23.7/US Research Published Week ending on July 7 2023.txt,GE,N/A,N/A
2023-07-01,US Research Published Week ending on July 7 2023.txt,/data/pdf_texts/23.7/US Research Published Week ending on July 7 2023.txt,OLLI,N/A,N/A
2023-07-01,US Research Published Week ending on July 7 2023.txt,/data/pdf_texts/23.7/US Research Published Week ending on July 7 2023.txt,VLO,160.00,N/A
2023-07-01,US Research Published Week ending on July 7 2023.txt,/data/pdf_texts/23.7/US Research Published Week ending on July 7 2023.txt,XOM,N/A,N/A
2023-07-01,US Research Published Week ending on July 7 2023.txt,/data/pdf_texts/23.7/US Research Published Week ending on July 7 2023.txt,PLAY,N/A,N/A
2023-07-01,JNJ MT Strength Bodes Well For MT Fundamentals JNJ Expects Healthy 2H.txt,/data/pdf_texts/23.7/JNJ MT Strength Bodes Well For MT Fundamentals JNJ Expects Healthy 2H.txt,JNJ,N/A,N/A
2023-07-01,JNJ MT Strength Bodes Well For MT Fundamentals JNJ Expects Healthy 2H.txt,/data/pdf_texts/23.7/JNJ MT Strength Bodes Well For MT Fundamentals JNJ Expects Healthy 2H.txt,ABT,N/A,N/A
2023-07-01,JNJ MT Strength Bodes Well For MT Fundamentals JNJ Expects Healthy 2H.txt,/data/pdf_texts/23.7/JNJ MT Strength Bodes Well For MT Fundamentals JNJ Expects Healthy 2H.txt,BSX,N/A,N/A
2023-07-01,JNJ MT Strength Bodes Well For MT Fundamentals JNJ Expects Healthy 2H.txt,/data/pdf_texts/23.7/JNJ MT Strength Bodes Well For MT Fundamentals JNJ Expects Healthy 2H.txt,EW,N/A,N/A
2023-07-01,JNJ MT Strength Bodes Well For MT Fundamentals JNJ Expects Healthy 2H.txt,/data/pdf_texts/23.7/JNJ MT Strength Bodes Well For MT Fundamentals JNJ Expects Healthy 2H.txt,ISRG,N/A,N/A
2023-07-01,JNJ MT Strength Bodes Well For MT Fundamentals JNJ Expects Healthy 2H.txt,/data/pdf_texts/23.7/JNJ MT Strength Bodes Well For MT Fundamentals JNJ Expects Healthy 2H.txt,MDT,N/A,N/A
2023-07-01,JNJ MT Strength Bodes Well For MT Fundamentals JNJ Expects Healthy 2H.txt,/data/pdf_texts/23.7/JNJ MT Strength Bodes Well For MT Fundamentals JNJ Expects Healthy 2H.txt,SYK,N/A,N/A
2023-07-01,JNJ MT Strength Bodes Well For MT Fundamentals JNJ Expects Healthy 2H.txt,/data/pdf_texts/23.7/JNJ MT Strength Bodes Well For MT Fundamentals JNJ Expects Healthy 2H.txt,ZBH,N/A,N/A
2023-07-01,JNJ MT Strength Bodes Well For MT Fundamentals JNJ Expects Healthy 2H.txt,/data/pdf_texts/23.7/JNJ MT Strength Bodes Well For MT Fundamentals JNJ Expects Healthy 2H.txt,ABMD,N/A,N/A
2023-07-01,US Utilities Clean Tech PowerPoints SO Vogtle nuclear legislation AGR solar wind challenges.txt,/data/pdf_texts/23.7/US Utilities Clean Tech PowerPoints SO Vogtle nuclear legislation AGR solar wind challenges.txt,SO,N/A,N/A
2023-07-01,US Utilities Clean Tech PowerPoints SO Vogtle nuclear legislation AGR solar wind challenges.txt,/data/pdf_texts/23.7/US Utilities Clean Tech PowerPoints SO Vogtle nuclear legislation AGR solar wind challenges.txt,AEP,N/A,N/A
2023-07-01,US Utilities Clean Tech PowerPoints SO Vogtle nuclear legislation AGR solar wind challenges.txt,/data/pdf_texts/23.7/US Utilities Clean Tech PowerPoints SO Vogtle nuclear legislation AGR solar wind challenges.txt,CEG,N/A,N/A
2023-07-01,US Utilities Clean Tech PowerPoints SO Vogtle nuclear legislation AGR solar wind challenges.txt,/data/pdf_texts/23.7/US Utilities Clean Tech PowerPoints SO Vogtle nuclear legislation AGR solar wind challenges.txt,D,N/A,N/A
2023-07-01,US Utilities Clean Tech PowerPoints SO Vogtle nuclear legislation AGR solar wind challenges.txt,/data/pdf_texts/23.7/US Utilities Clean Tech PowerPoints SO Vogtle nuclear legislation AGR solar wind challenges.txt,XEL,N/A,N/A
2023-07-01,US Utilities Clean Tech PowerPoints SO Vogtle nuclear legislation AGR solar wind challenges.txt,/data/pdf_texts/23.7/US Utilities Clean Tech PowerPoints SO Vogtle nuclear legislation AGR solar wind challenges.txt,AGR,N/A,N/A
