ticker,et_timestamp,analyst_target_pct_change,mean_consensus_before,mean_consensus_after,n_analysts_before,n_analysts_after,return_T1_to_T20,return_T1_to_T40,T_timestamp
ALDX,"March 29, 2018 8:00 AM ET",,,,0,0,-0.07912911925277832,-0.09228441754916716,2018-03-29 09:00:00
AGFMF,"March 28, 2018 11:00 AM ET",,,,0,0,,,
MTEX,"March 27, 2018 10:00 AM ET",,,,0,0,0.04826777588565356,0.20688981323804456,2018-03-27 10:00:00
SAIC,"March 29, 2018 8:00 AM ET",,,,0,0,,,
PFSCF,"March 29, 2018 8:00 AM ET",,,,0,0,,,
DPDW,"March 29, 2018 10:00 AM ET",,,,0,0,,,
SFUN,"March 29, 2018 8:00 AM ET",,,,0,0,,,
IIPR,"March 29, 2018 12:00 PM ET",7.6923076923076925,32.5,35.0,1,1,-0.0006674857070988471,0.019332901241138067,2018-03-29 12:00:00
CTIB,"March 29, 2018 10:00 AM ET",,,,0,0,,,
BKYI,"March 29, 2018 10:00 AM ET",,,,0,0,0.01681547619047663,0.19047619047619135,2018-03-29 10:00:00
QES,"March 29, 2018 10:00 AM ET",,,,0,0,,,
TITN,"March 29, 2018 8:30 AM ET",,,,0,0,,,
JBSAF,"March 29, 2018 10:00 AM ET",,,,0,0,,,
MOV,"March 29, 2018 9:00 AM ET",,,,0,0,-0.07720603430460782,-0.06494984659894631,2018-03-29 09:00:00
MDLY,"March 29, 2018 10:00 AM ET",,,,0,0,,,
LONE,"March 29, 2018 9:00 AM ET",,,,0,0,,,
ANGO,"March 29, 2018 8:00 AM ET",,,,0,0,0.18709677419354898,0.21032258064516274,2018-03-29 09:00:00
ALT,"March 29, 2018 8:00 AM ET",,,,0,0,-0.045801526717556884,-0.21054500266287846,2018-03-29 09:00:00
INFO,"March 27, 2018 8:00 AM ET",,,,0,0,,,
SNCR,"March 28, 2018 4:30 PM ET",,,,0,0,,,
OXM,"March 28, 2018 4:30 PM ET",-5.072463768115947,92.0,87.33333333333333,1,3,-0.017959462138078863,-0.021249264365801324,2018-03-29 09:00:00
BIOC,"March 28, 2018 4:30 PM ET",,,,0,0,,,
SPWH,"March 28, 2018 4:30 PM ET",,,,0,0,,,
SUNW,"March 28, 2018 5:00 PM ET",,,,0,0,,,
CYCC,"March 28, 2018 4:30 PM ET",,,,0,0,0.1638518518518508,0.13451851851851826,2018-03-29 09:00:00
COLD,"March 28, 2018 5:00 PM ET",3.896103896103896,19.25,20.0,2,1,-0.016638999096263762,-0.005127580615180705,2018-03-29 09:00:00
GEVO,"March 28, 2018 4:30 PM ET",,,,0,0,-0.10395833333333293,-0.0627083333333327,2018-03-29 09:00:00
VRNT,"March 28, 2018 4:30 PM ET",,,,0,0,,,
NVCN,"January 1, 0000 5:13 PM ET",,,,0,0,,,
GME,"March 28, 2018 5:00 PM ET",-27.380952380952383,5.25,3.8125,1,8,0.049198053703370714,0.07338259145792181,2018-03-29 09:00:00
BURG,"March 28, 2018 4:30 AM ET",,,,0,0,,,
PRGS,"March 28, 2018 5:00 PM ET",,,,0,0,4.440892098500626e-16,-0.03674253822438833,2018-03-29 09:00:00
RLH,"March 28, 2018 5:00 PM ET",,,,0,0,,,
MSLP,"March 28, 2018 4:30 PM ET",,,,0,0,,,
ASND,"March 28, 2018 4:30 PM ET",,,,0,0,-0.08393991017500368,-0.09617469413040092,2018-03-29 09:00:00
PPSI,"March 28, 2018 4:30 PM ET",,,,0,0,0.0825749831708591,0.13762497195143175,2018-03-29 09:00:00
MAGS,"March 28, 2018 11:30 AM ET",,,,0,0,0.0,0.0,2018-03-28 12:00:00
PFIN,"March 28, 2018 11:00 AM ET",,,,0,0,,,
PPLKF,"March 28, 2018 4:00 AM ET",,,,0,0,,,
PRIM,"March 28, 2018 8:30 AM ET",,,,0,0,0.02160404655434922,0.05794282905205339,2018-03-28 09:00:00
WBA,"March 28, 2018 8:30 AM ET",,,,0,0,,,
MRRTY,"March 28, 2018 10:00 AM ET",,,,0,0,,,
DYAI,"March 27, 2018 5:00 PM ET",,,,0,0,0.08904109589041131,0.0650684931506853,2018-03-28 09:00:00
FECCF,"March 28, 2018 10:30 AM ET",,,,0,0,,,
MYOS,"March 28, 2018 11:00 AM ET",,,,0,0,,,
XPLT,"March 28, 2018 11:00 AM ET",,,,0,0,,,
OMN,"March 28, 2018 11:00 AM ET",,,,0,0,,,
EVOTF,"March 28, 2018 8:00 AM ET",,,,0,0,,,
QIWI,"March 28, 2018 8:30 AM ET",,,,0,0,,,
NSYS,"March 28, 2018 11:00 AM ET",,,,0,0,-0.07078688524590138,-0.0754098360655735,2018-03-28 11:00:00
EMAN,"March 28, 2018 9:00 AM ET",,,,0,0,,,
BIOA,"March 28, 2018 8:00 AM ET",,,,0,0,0.0,0.0,2018-03-28 09:00:00
SCWX,"March 28, 2018 8:00 AM ET",,,,0,0,,,
EDAP,"March 28, 2018 8:30 AM ET",,,,0,0,-0.05752494162598132,0.013500318403737,2018-03-28 09:00:00
BB,"March 28, 2018 8:00 AM ET",,,,0,0,-0.16340891321344708,-0.18475371383893546,2018-03-28 09:00:00
UNF,"March 28, 2018 9:00 AM ET",,,,0,0,,,
HBAYF,"March 28, 2018 8:30 AM ET",,,,0,0,,,
AEZS,"March 28, 2018 8:30 AM ET",,,,0,0,,,
PVVTF,"March 28, 2018 8:30 AM ET",,,,0,0,,,
MRSN,"March 28, 2018 8:00 AM ET",-15.384615384615385,26.0,22.0,2,1,-0.045667447306790954,-0.07728337236533844,2018-03-28 09:00:00
SYCRF,"March 28, 2018 8:30 AM ET",,,,0,0,,,
SONC,"March 27, 2018 5:00 PM ET",,,,0,0,,,
APTO,"March 27, 2018 5:00 PM ET",,,,0,0,-0.0016118951281287597,0.013191223395507157,2018-03-28 09:00:00
