ticker,et_timestamp,analyst_target_pct_change,mean_consensus_before,mean_consensus_after,n_analysts_before,n_analysts_after,return_T1_to_T20,return_T1_to_T40,T_timestamp
NRDXF,"March 27, 2017 8:00 AM ET",,,,0,0,,,
BAK,"March 29, 2018 10:00 AM ET",,,,0,0,0.0,0.0,2018-03-29 10:00:00
SNWV,"March 29, 2018 9:00 AM ET",,,,0,0,,,
AETI,"March 30, 2018 11:00 AM ET",,,,0,0,,,
MNTX,"March 28, 2018 4:30 PM ET",,,,0,0,,,
AMMX,"March 30, 2018 1:00 PM ET",,,,0,0,,,
CXO,"March 28, 2018 8:00 AM ET",,,,0,0,,,
ARTW,"March 30, 2018 11:00 AM ET",,,,0,0,2.220446049250313e-16,-0.09803921568627438,2018-04-02 09:00:00
PSDV,"March 29, 2018 8:00 AM ET",,,,0,0,,,
VJET,"March 30, 2018 8:30 AM ET",,,,0,0,,,
PLT,"March 28, 2018 8:00 AM ET",,,,0,0,,,
MBII,"March 29, 2018 5:00 PM ET",,,,0,0,,,
VTSI,"March 29, 2018 4:30 PM ET",,,,0,0,,,
FPH,"March 27, 2018 5:00 PM ET",5.714285714285714,17.5,18.5,1,3,-0.028708133971290906,0.01982228298017863,2018-03-28 09:00:00
ACGX,"March 29, 2018 4:30 PM ET",,,,0,0,,,
PRKR,"March 29, 2018 4:30 PM ET",,,,0,0,,,
ATEA,"March 29, 2018 4:30 PM ET",,,,0,0,,,
SNX,"March 29, 2018 5:00 PM ET",,,,0,0,,,
STZ,"March 29, 2018 10:30 AM ET",,,,0,0,,,
GWGH,"March 29, 2018 4:30 PM ET",,,,0,0,,,
KMPH,"March 29, 2018 4:30 PM ET",,,,0,0,,,
IPMLF,"March 29, 2018 1:00 PM ET",,,,0,0,,,
YGYI,"March 29, 2018 4:15 PM ET",,,,0,0,,,
PYDS,"March 29, 2018 5:00 PM ET",,,,0,0,,,
AMTX,"March 29, 2018 2:00 PM ET",,,,0,0,-0.11941628606438637,-0.20908989640191533,2018-03-29 14:00:00
DLMAF,"March 29, 2018 10:30 AM ET",,,,0,0,,,
LNN,"March 29, 2018 11:00 AM ET",,,,0,0,-0.10064162783271857,-0.07487933324386475,2018-03-29 11:00:00
RNST,"March 29, 2018 10:00 AM ET",,,,0,0,0.01632703756291365,0.02357879404616492,2018-03-29 10:00:00
FUL,"March 29, 2018 10:30 AM ET",,,,0,0,-0.023530730875096828,-0.018905050433985493,2018-03-29 11:00:00
DDEJF,"March 29, 2018 10:00 AM ET",,,,0,0,,,
WOR,"March 29, 2018 2:30 PM ET",,,,0,0,,,
REED,"March 28, 0000 2:00 AM ET",,,,0,0,0.0625,0.031250000000000444,2018-01-02 09:00:00
GLF,"March 29, 2018 9:00 AM ET",,,,0,0,,,
PVH,"March 29, 2018 9:00 AM ET",1.2433392539964443,168.9,171.0,10,5,0.013250574343089072,0.014882519084926882,2018-03-29 09:00:00
CAPC,"March 29, 2018 10:30 AM ET",,,,0,0,,,
ROGFF,"March 29, 2018 11:00 AM ET",,,,0,0,,,
MARK,"March 29, 2018 8:30 AM ET",,,,0,0,,,
